ref_area.label,indicator.label,source.label,sex,economicactivity,classif2.label,time,value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Manufacturing,Currency: Local currency,2020,2925577.53,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Construction,Currency: Local currency,2020,2404077.13,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2020,3916281.29,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2020,2911937.22,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2020,3365657.77,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Agriculture,Currency: Local currency,2020,891864.06,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Manufacturing,Currency: Local currency,2020,2143998.63,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Construction,Currency: Local currency,2020,3358419.34,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2020,3156280.95,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2020,2482865.3,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2020,2379532.03,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Agriculture,Currency: Local currency,2019,1698404.83,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Manufacturing,Currency: Local currency,2019,2942609.31,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Construction,Currency: Local currency,2019,2383622.34,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2019,3956253.61,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2019,2981551.23,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2019,3372744.44,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Agriculture,Currency: Local currency,2019,971682.59,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Manufacturing,Currency: Local currency,2019,2112638.66,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Construction,Currency: Local currency,2019,3335566.33,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2019,2986603.47,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2019,2458817.06,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2019,2356892.21,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Agriculture,Currency: Local currency,2018,1550846.62,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Manufacturing,Currency: Local currency,2018,2787045,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Construction,Currency: Local currency,2018,2192034.35,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2018,3653652.57,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2018,2845259.2,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2018,3300298.38,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Agriculture,Currency: Local currency,2018,849887.4,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Manufacturing,Currency: Local currency,2018,1960316,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Construction,Currency: Local currency,2018,2722725.45,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2018,2622377.03,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2018,2390795.27,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2018,2309967.52,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Agriculture,Currency: Local currency,2017,1463688.17,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Manufacturing,Currency: Local currency,2017,2741662.64,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Construction,Currency: Local currency,2017,2108657.79,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2017,3727087.17,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2017,2816569.85,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2017,3394159.39,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Agriculture,Currency: Local currency,2017,814038.09,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Manufacturing,Currency: Local currency,2017,1917190.79,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Construction,Currency: Local currency,2017,2209504.83,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2017,2958051.01,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2017,2346484.23,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2017,2353547.54,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Agriculture,Currency: Local currency,2016,1332338.18,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Manufacturing,Currency: Local currency,2016,2306494.59,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Construction,Currency: Local currency,2016,1913791.19,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2016,3229633.06,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2016,2470274.54,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2016,2878899.79,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Agriculture,Currency: Local currency,2016,753567.12,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Manufacturing,Currency: Local currency,2016,1716419.53,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Construction,Currency: Local currency,2016,2690429.27,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2016,2797983.05,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2016,2067370.56,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2016,2065345.59,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
